Program,question1,Module,Qn,Module_name,Response,Count,Question
NACP,Q5_5,5,5,Mission and Vision,Somewhat Agree,5,5. Our organization consistently sets challenging long-term goals to achieve.
NACP,Q5_5,5,5,Mission and Vision,Somewhat Disagree,1,5. Our organization consistently sets challenging long-term goals to achieve.
NACP,Q5_5,5,5,Mission and Vision,Strongly Agree,3,5. Our organization consistently sets challenging long-term goals to achieve.
NACP,Q5_5,5,5,Mission and Vision,Strongly Disagree,0,5. Our organization consistently sets challenging long-term goals to achieve.
NACP,Q5_6,5,6,Mission and Vision,Agree,7,"6. Overall, our employees and managers are focused on our organization’s future."
NACP,Q5_6,5,6,Mission and Vision,Disagree,1,"6. Overall, our employees and managers are focused on our organization’s future."
NACP,Q5_6,5,6,Mission and Vision,Somewhat Agree,3,"6. Overall, our employees and managers are focused on our organization’s future."
NACP,Q5_6,5,6,Mission and Vision,Somewhat Disagree,1,"6. Overall, our employees and managers are focused on our organization’s future."
NACP,Q5_6,5,6,Mission and Vision,Strongly Agree,4,"6. Overall, our employees and managers are focused on our organization’s future."
NACP,Q5_6,5,6,Mission and Vision,Strongly Disagree,0,"6. Overall, our employees and managers are focused on our organization’s future."
NACP,Q6_1,6,1,Organizational Strategy Deployment,Agree,8,1. I believe our organization has a well-defined and effective strategy for achieving its goals.
NACP,Q6_1,6,1,Organizational Strategy Deployment,Disagree,0,1. I believe our organization has a well-defined and effective strategy for achieving its goals.
NACP,Q6_1,6,1,Organizational Strategy Deployment,Somewhat Agree,2,1. I believe our organization has a well-defined and effective strategy for achieving its goals.
NACP,Q6_1,6,1,Organizational Strategy Deployment,Somewhat Disagree,0,1. I believe our organization has a well-defined and effective strategy for achieving its goals.
NACP,Q6_1,6,1,Organizational Strategy Deployment,Strongly Agree,6,1. I believe our organization has a well-defined and effective strategy for achieving its goals.
NACP,Q6_1,6,1,Organizational Strategy Deployment,Strongly Disagree,0,1. I believe our organization has a well-defined and effective strategy for achieving its goals.
NACP,Q6_2,6,2,Organizational Strategy Deployment,Agree,11,2. Our organization regularly reviews and adjusts its strategic plans based on changing circumstances.
NACP,Q6_2,6,2,Organizational Strategy Deployment,Disagree,0,2. Our organization regularly reviews and adjusts its strategic plans based on changing circumstances.
NACP,Q6_2,6,2,Organizational Strategy Deployment,Somewhat Agree,2,2. Our organization regularly reviews and adjusts its strategic plans based on changing circumstances.
NACP,Q6_2,6,2,Organizational Strategy Deployment,Somewhat Disagree,1,2. Our organization regularly reviews and adjusts its strategic plans based on changing circumstances.
NACP,Q6_2,6,2,Organizational Strategy Deployment,Strongly Agree,2,2. Our organization regularly reviews and adjusts its strategic plans based on changing circumstances.
NACP,Q6_2,6,2,Organizational Strategy Deployment,Strongly Disagree,0,2. Our organization regularly reviews and adjusts its strategic plans based on changing circumstances.
NACP,Q6_3,6,3,Organizational Strategy Deployment,Agree,7,3. Employees understand how their roles contribute to the overall strategy.
NACP,Q6_3,6,3,Organizational Strategy Deployment,Disagree,2,3. Employees understand how their roles contribute to the overall strategy.
NACP,Q6_3,6,3,Organizational Strategy Deployment,Somewhat Agree,5,3. Employees understand how their roles contribute to the overall strategy.
NACP,Q6_3,6,3,Organizational Strategy Deployment,Somewhat Disagree,0,3. Employees understand how their roles contribute to the overall strategy.
NACP,Q6_3,6,3,Organizational Strategy Deployment,Strongly Agree,2,3. Employees understand how their roles contribute to the overall strategy.
NACP,Q6_3,6,3,Organizational Strategy Deployment,Strongly Disagree,0,3. Employees understand how their roles contribute to the overall strategy.
NACP,Q6_4,6,4,Organizational Strategy Deployment,Agree,5,4. Our organization effectively communicates its strategic priorities to all employees.
NACP,Q6_4,6,4,Organizational Strategy Deployment,Disagree,1,4. Our organization effectively communicates its strategic priorities to all employees.
NACP,Q6_4,6,4,Organizational Strategy Deployment,Somewhat Agree,6,4. Our organization effectively communicates its strategic priorities to all employees.
NACP,Q6_4,6,4,Organizational Strategy Deployment,Somewhat Disagree,0,4. Our organization effectively communicates its strategic priorities to all employees.
NACP,Q6_4,6,4,Organizational Strategy Deployment,Strongly Agree,4,4. Our organization effectively communicates its strategic priorities to all employees.
NACP,Q6_4,6,4,Organizational Strategy Deployment,Strongly Disagree,0,4. Our organization effectively communicates its strategic priorities to all employees.
NACP,Q6_5,6,5,Organizational Strategy Deployment,Agree,5,5. I see a strong connection between the strategic decisions made and our organization's success.
NACP,Q6_5,6,5,Organizational Strategy Deployment,Disagree,0,5. I see a strong connection between the strategic decisions made and our organization's success.
NACP,Q6_5,6,5,Organizational Strategy Deployment,Somewhat Agree,6,5. I see a strong connection between the strategic decisions made and our organization's success.
NACP,Q6_5,6,5,Organizational Strategy Deployment,Somewhat Disagree,1,5. I see a strong connection between the strategic decisions made and our organization's success.
NACP,Q6_5,6,5,Organizational Strategy Deployment,Strongly Agree,4,5. I see a strong connection between the strategic decisions made and our organization's success.
NACP,Q6_5,6,5,Organizational Strategy Deployment,Strongly Disagree,0,5. I see a strong connection between the strategic decisions made and our organization's success.
NACP,Q6_6,6,6,Organizational Strategy Deployment,Agree,4,"6. Overall, our organization has a good strategy and works towards it effectively."
NACP,Q6_6,6,6,Organizational Strategy Deployment,Disagree,1,"6. Overall, our organization has a good strategy and works towards it effectively."
NACP,Q6_6,6,6,Organizational Strategy Deployment,Somewhat Agree,6,"6. Overall, our organization has a good strategy and works towards it effectively."
NACP,Q6_6,6,6,Organizational Strategy Deployment,Somewhat Disagree,0,"6. Overall, our organization has a good strategy and works towards it effectively."
NACP,Q6_6,6,6,Organizational Strategy Deployment,Strongly Agree,5,"6. Overall, our organization has a good strategy and works towards it effectively."
NACP,Q6_6,6,6,Organizational Strategy Deployment,Strongly Disagree,0,"6. Overall, our organization has a good strategy and works towards it effectively."
NACP,Q7_1,7,1,Organizational Core Values,Agree,7,1. Our organization's core values align with my personal beliefs.
NACP,Q7_1,7,1,Organizational Core Values,Disagree,1,1. Our organization's core values align with my personal beliefs.
NACP,Q7_1,7,1,Organizational Core Values,Somewhat Agree,4,1. Our organization's core values align with my personal beliefs.
NACP,Q7_1,7,1,Organizational Core Values,Somewhat Disagree,1,1. Our organization's core values align with my personal beliefs.
NACP,Q7_1,7,1,Organizational Core Values,Strongly Agree,3,1. Our organization's core values align with my personal beliefs.
NACP,Q7_1,7,1,Organizational Core Values,Strongly Disagree,0,1. Our organization's core values align with my personal beliefs.
NACP,Q7_2,7,2,Organizational Core Values,Agree,7,2. I observe consistent adherence to ethical principles within our organization.
NACP,Q7_2,7,2,Organizational Core Values,Disagree,1,2. I observe consistent adherence to ethical principles within our organization.
NACP,Q7_2,7,2,Organizational Core Values,Somewhat Agree,4,2. I observe consistent adherence to ethical principles within our organization.
NACP,Q7_2,7,2,Organizational Core Values,Somewhat Disagree,0,2. I observe consistent adherence to ethical principles within our organization.
NACP,Q7_2,7,2,Organizational Core Values,Strongly Agree,4,2. I observe consistent adherence to ethical principles within our organization.
NACP,Q7_2,7,2,Organizational Core Values,Strongly Disagree,0,2. I observe consistent adherence to ethical principles within our organization.
NACP,Q7_3,7,3,Organizational Core Values,Agree,7,3. Our organization promotes supporting employee perspectives as a fundamental value.
NACP,Q7_3,7,3,Organizational Core Values,Disagree,3,3. Our organization promotes supporting employee perspectives as a fundamental value.
NACP,Q7_3,7,3,Organizational Core Values,Somewhat Agree,5,3. Our organization promotes supporting employee perspectives as a fundamental value.
NACP,Q7_3,7,3,Organizational Core Values,Somewhat Disagree,0,3. Our organization promotes supporting employee perspectives as a fundamental value.
NACP,Q7_3,7,3,Organizational Core Values,Strongly Agree,1,3. Our organization promotes supporting employee perspectives as a fundamental value.
NACP,Q7_3,7,3,Organizational Core Values,Strongly Disagree,0,3. Our organization promotes supporting employee perspectives as a fundamental value.
NACP,Q7_4,7,4,Organizational Core Values,Agree,7,4. Employees feel comfortable raising ethical/values-related concerns without fear of reprisal.
NACP,Q7_4,7,4,Organizational Core Values,Disagree,3,4. Employees feel comfortable raising ethical/values-related concerns without fear of reprisal.
NACP,Q7_4,7,4,Organizational Core Values,Somewhat Agree,2,4. Employees feel comfortable raising ethical/values-related concerns without fear of reprisal.
NACP,Q7_4,7,4,Organizational Core Values,Somewhat Disagree,3,4. Employees feel comfortable raising ethical/values-related concerns without fear of reprisal.
NACP,Q7_4,7,4,Organizational Core Values,Strongly Agree,1,4. Employees feel comfortable raising ethical/values-related concerns without fear of reprisal.
NACP,Q7_4,7,4,Organizational Core Values,Strongly Disagree,0,4. Employees feel comfortable raising ethical/values-related concerns without fear of reprisal.
NACP,Q7_5,7,5,Organizational Core Values,Agree,7,5. I believe that our organization's values positively impact our decision-making.
NACP,Q7_5,7,5,Organizational Core Values,Disagree,2,5. I believe that our organization's values positively impact our decision-making.
NACP,Q7_5,7,5,Organizational Core Values,Somewhat Agree,3,5. I believe that our organization's values positively impact our decision-making.
NACP,Q7_5,7,5,Organizational Core Values,Somewhat Disagree,1,5. I believe that our organization's values positively impact our decision-making.
NACP,Q7_5,7,5,Organizational Core Values,Strongly Agree,3,5. I believe that our organization's values positively impact our decision-making.
NACP,Q7_5,7,5,Organizational Core Values,Strongly Disagree,0,5. I believe that our organization's values positively impact our decision-making.
NACP,Q7_6,7,6,Organizational Core Values,Agree,8,"6. Overall, the way we do our work on a daily basis reflects positively on our organization’s core values."
NACP,Q7_6,7,6,Organizational Core Values,Disagree,2,"6. Overall, the way we do our work on a daily basis reflects positively on our organization’s core values."
NACP,Q7_6,7,6,Organizational Core Values,Somewhat Agree,3,"6. Overall, the way we do our work on a daily basis reflects positively on our organization’s core values."
NACP,Q7_6,7,6,Organizational Core Values,Somewhat Disagree,1,"6. Overall, the way we do our work on a daily basis reflects positively on our organization’s core values."
NACP,Q7_6,7,6,Organizational Core Values,Strongly Agree,2,"6. Overall, the way we do our work on a daily basis reflects positively on our organization’s core values."
NACP,Q7_6,7,6,Organizational Core Values,Strongly Disagree,0,"6. Overall, the way we do our work on a daily basis reflects positively on our organization’s core values."
NACP,Q8_1,8,1,Management and Leadership,Agree,9,1. The leadership team provides clear guidance on our organization's goals and expectations.
NACP,Q8_1,8,1,Management and Leadership,Disagree,1,1. The leadership team provides clear guidance on our organization's goals and expectations.
NACP,Q8_1,8,1,Management and Leadership,Somewhat Agree,2,1. The leadership team provides clear guidance on our organization's goals and expectations.
NACP,Q8_1,8,1,Management and Leadership,Somewhat Disagree,3,1. The leadership team provides clear guidance on our organization's goals and expectations.
NACP,Q8_1,8,1,Management and Leadership,Strongly Agree,1,1. The leadership team provides clear guidance on our organization's goals and expectations.
NACP,Q8_1,8,1,Management and Leadership,Strongly Disagree,0,1. The leadership team provides clear guidance on our organization's goals and expectations.
NACP,Q8_2,8,2,Management and Leadership,Agree,7,2. I feel supported and empowered by my immediate supervisor.
NACP,Q8_2,8,2,Management and Leadership,Disagree,1,2. I feel supported and empowered by my immediate supervisor.
NACP,Q8_2,8,2,Management and Leadership,Somewhat Agree,5,2. I feel supported and empowered by my immediate supervisor.
NACP,Q8_2,8,2,Management and Leadership,Somewhat Disagree,0,2. I feel supported and empowered by my immediate supervisor.
NACP,Q8_2,8,2,Management and Leadership,Strongly Agree,3,2. I feel supported and empowered by my immediate supervisor.
NACP,Q8_2,8,2,Management and Leadership,Strongly Disagree,0,2. I feel supported and empowered by my immediate supervisor.
NACP,Q8_3,8,3,Management and Leadership,Agree,8,3. Our organization encourages employees to take on leadership roles when appropriate.
NACP,Q8_3,8,3,Management and Leadership,Disagree,1,3. Our organization encourages employees to take on leadership roles when appropriate.
NACP,Q8_3,8,3,Management and Leadership,Somewhat Agree,2,3. Our organization encourages employees to take on leadership roles when appropriate.
NACP,Q8_3,8,3,Management and Leadership,Somewhat Disagree,4,3. Our organization encourages employees to take on leadership roles when appropriate.
NACP,Q8_3,8,3,Management and Leadership,Strongly Agree,1,3. Our organization encourages employees to take on leadership roles when appropriate.
NACP,Q8_3,8,3,Management and Leadership,Strongly Disagree,0,3. Our organization encourages employees to take on leadership roles when appropriate.
NACP,Q8_4,8,4,Management and Leadership,Agree,7,4. Leaders actively seek and value input and feedback from team members.
NACP,Q8_4,8,4,Management and Leadership,Disagree,1,4. Leaders actively seek and value input and feedback from team members.
NACP,Q8_4,8,4,Management and Leadership,Somewhat Agree,5,4. Leaders actively seek and value input and feedback from team members.
NACP,Q8_4,8,4,Management and Leadership,Somewhat Disagree,1,4. Leaders actively seek and value input and feedback from team members.
NACP,Q8_4,8,4,Management and Leadership,Strongly Agree,2,4. Leaders actively seek and value input and feedback from team members.
NACP,Q8_4,8,4,Management and Leadership,Strongly Disagree,0,4. Leaders actively seek and value input and feedback from team members.
NACP,Q8_5,8,5,Management and Leadership,Agree,7,5. Employees at all levels collaborate effectively and show mutual respect.
NACP,Q8_5,8,5,Management and Leadership,Disagree,1,5. Employees at all levels collaborate effectively and show mutual respect.
NACP,Q8_5,8,5,Management and Leadership,Somewhat Agree,4,5. Employees at all levels collaborate effectively and show mutual respect.
NACP,Q8_5,8,5,Management and Leadership,Somewhat Disagree,1,5. Employees at all levels collaborate effectively and show mutual respect.
NACP,Q8_5,8,5,Management and Leadership,Strongly Agree,3,5. Employees at all levels collaborate effectively and show mutual respect.
NACP,Q8_5,8,5,Management and Leadership,Strongly Disagree,0,5. Employees at all levels collaborate effectively and show mutual respect.
NACP,Q8_6,8,6,Management and Leadership,Agree,9,6. Organizational leadership does its best to manage us effectively.
NACP,Q8_6,8,6,Management and Leadership,Disagree,1,6. Organizational leadership does its best to manage us effectively.
NACP,Q8_6,8,6,Management and Leadership,Somewhat Agree,3,6. Organizational leadership does its best to manage us effectively.
NACP,Q8_6,8,6,Management and Leadership,Somewhat Disagree,1,6. Organizational leadership does its best to manage us effectively.
NACP,Q8_6,8,6,Management and Leadership,Strongly Agree,2,6. Organizational leadership does its best to manage us effectively.
NACP,Q8_6,8,6,Management and Leadership,Strongly Disagree,0,6. Organizational leadership does its best to manage us effectively.
NACP,Q9_1,9,1,Organizational Learning and Development,Agree,6,1. Our organization actively encourages employees to seek out opportunities for personal and professional growth.
NACP,Q9_1,9,1,Organizational Learning and Development,Disagree,1,1. Our organization actively encourages employees to seek out opportunities for personal and professional growth.
NACP,Q9_1,9,1,Organizational Learning and Development,Somewhat Agree,4,1. Our organization actively encourages employees to seek out opportunities for personal and professional growth.
NACP,Q9_1,9,1,Organizational Learning and Development,Somewhat Disagree,3,1. Our organization actively encourages employees to seek out opportunities for personal and professional growth.
NACP,Q9_1,9,1,Organizational Learning and Development,Strongly Agree,2,1. Our organization actively encourages employees to seek out opportunities for personal and professional growth.
NACP,Q9_1,9,1,Organizational Learning and Development,Strongly Disagree,0,1. Our organization actively encourages employees to seek out opportunities for personal and professional growth.
NACP,Q9_2,9,2,Organizational Learning and Development,Agree,9,2. I feel empowered to suggest and implement innovative ideas to improve our work processes.
NACP,Q9_2,9,2,Organizational Learning and Development,Disagree,0,2. I feel empowered to suggest and implement innovative ideas to improve our work processes.
NACP,Q9_2,9,2,Organizational Learning and Development,Somewhat Agree,4,2. I feel empowered to suggest and implement innovative ideas to improve our work processes.
NACP,Q9_2,9,2,Organizational Learning and Development,Somewhat Disagree,1,2. I feel empowered to suggest and implement innovative ideas to improve our work processes.
NACP,Q9_2,9,2,Organizational Learning and Development,Strongly Agree,2,2. I feel empowered to suggest and implement innovative ideas to improve our work processes.
NACP,Q9_2,9,2,Organizational Learning and Development,Strongly Disagree,0,2. I feel empowered to suggest and implement innovative ideas to improve our work processes.
NACP,Q9_3,9,3,Organizational Learning and Development,Agree,6,3. Our organization values continuous learning and provides resources for skill development.
NACP,Q9_3,9,3,Organizational Learning and Development,Disagree,2,3. Our organization values continuous learning and provides resources for skill development.
NACP,Q9_3,9,3,Organizational Learning and Development,Somewhat Agree,4,3. Our organization values continuous learning and provides resources for skill development.
NACP,Q9_3,9,3,Organizational Learning and Development,Somewhat Disagree,2,3. Our organization values continuous learning and provides resources for skill development.
NACP,Q9_3,9,3,Organizational Learning and Development,Strongly Agree,2,3. Our organization values continuous learning and provides resources for skill development.
NACP,Q9_3,9,3,Organizational Learning and Development,Strongly Disagree,0,3. Our organization values continuous learning and provides resources for skill development.
NACP,Q9_4,9,4,Organizational Learning and Development,Agree,5,4. I believe that our organization fosters a culture of creativity and problem-solving.
NACP,Q9_4,9,4,Organizational Learning and Development,Disagree,0,4. I believe that our organization fosters a culture of creativity and problem-solving.
NACP,Q9_4,9,4,Organizational Learning and Development,Somewhat Agree,8,4. I believe that our organization fosters a culture of creativity and problem-solving.
NACP,Q9_4,9,4,Organizational Learning and Development,Somewhat Disagree,2,4. I believe that our organization fosters a culture of creativity and problem-solving.
NACP,Q9_4,9,4,Organizational Learning and Development,Strongly Agree,1,4. I believe that our organization fosters a culture of creativity and problem-solving.
NACP,Q9_4,9,4,Organizational Learning and Development,Strongly Disagree,0,4. I believe that our organization fosters a culture of creativity and problem-solving.
NACP,Q9_5,9,5,Organizational Learning and Development,Agree,7,5. Our organization learns from its mistakes and uses them as opportunities for improvement.
NACP,Q9_5,9,5,Organizational Learning and Development,Disagree,1,5. Our organization learns from its mistakes and uses them as opportunities for improvement.
NACP,Q9_5,9,5,Organizational Learning and Development,Somewhat Agree,5,5. Our organization learns from its mistakes and uses them as opportunities for improvement.
NACP,Q9_5,9,5,Organizational Learning and Development,Somewhat Disagree,2,5. Our organization learns from its mistakes and uses them as opportunities for improvement.
NACP,Q9_5,9,5,Organizational Learning and Development,Strongly Agree,1,5. Our organization learns from its mistakes and uses them as opportunities for improvement.
NACP,Q9_5,9,5,Organizational Learning and Development,Strongly Disagree,0,5. Our organization learns from its mistakes and uses them as opportunities for improvement.
NACP,Q9_6,9,6,Organizational Learning and Development,Agree,7,6. I would describe my organization as one that is constantly learning to adjust to new challenges.
NACP,Q9_6,9,6,Organizational Learning and Development,Disagree,0,6. I would describe my organization as one that is constantly learning to adjust to new challenges.
NACP,Q9_6,9,6,Organizational Learning and Development,Somewhat Agree,6,6. I would describe my organization as one that is constantly learning to adjust to new challenges.
NACP,Q9_6,9,6,Organizational Learning and Development,Somewhat Disagree,2,6. I would describe my organization as one that is constantly learning to adjust to new challenges.
NACP,Q9_6,9,6,Organizational Learning and Development,Strongly Agree,1,6. I would describe my organization as one that is constantly learning to adjust to new challenges.
NACP,Q9_6,9,6,Organizational Learning and Development,Strongly Disagree,0,6. I would describe my organization as one that is constantly learning to adjust to new challenges.
NACP,Q10_1,10,1,Diversity and Inclusion,Agree,10,1. Our organization actively promotes diversity and inclusion as essential values.
NACP,Q10_1,10,1,Diversity and Inclusion,Disagree,0,1. Our organization actively promotes diversity and inclusion as essential values.
NACP,Q10_1,10,1,Diversity and Inclusion,Somewhat Agree,3,1. Our organization actively promotes diversity and inclusion as essential values.
NACP,Q10_1,10,1,Diversity and Inclusion,Somewhat Disagree,2,1. Our organization actively promotes diversity and inclusion as essential values.
NACP,Q10_1,10,1,Diversity and Inclusion,Strongly Agree,1,1. Our organization actively promotes diversity and inclusion as essential values.
NACP,Q10_1,10,1,Diversity and Inclusion,Strongly Disagree,0,1. Our organization actively promotes diversity and inclusion as essential values.
NACP,Q10_2,10,2,Diversity and Inclusion,Agree,8,2. I believe that our workplace is inclusive and welcoming to individuals of all backgrounds.
NACP,Q10_2,10,2,Diversity and Inclusion,Disagree,1,2. I believe that our workplace is inclusive and welcoming to individuals of all backgrounds.
NACP,Q10_2,10,2,Diversity and Inclusion,Somewhat Agree,5,2. I believe that our workplace is inclusive and welcoming to individuals of all backgrounds.
NACP,Q10_2,10,2,Diversity and Inclusion,Somewhat Disagree,0,2. I believe that our workplace is inclusive and welcoming to individuals of all backgrounds.
NACP,Q10_2,10,2,Diversity and Inclusion,Strongly Agree,2,2. I believe that our workplace is inclusive and welcoming to individuals of all backgrounds.
NACP,Q10_2,10,2,Diversity and Inclusion,Strongly Disagree,0,2. I believe that our workplace is inclusive and welcoming to individuals of all backgrounds.
NACP,Q10_3,10,3,Diversity and Inclusion,Agree,7,3. Our organization's leadership team reflects a diverse range of backgrounds and perspectives.
NACP,Q10_3,10,3,Diversity and Inclusion,Disagree,0,3. Our organization's leadership team reflects a diverse range of backgrounds and perspectives.
NACP,Q10_3,10,3,Diversity and Inclusion,Somewhat Agree,5,3. Our organization's leadership team reflects a diverse range of backgrounds and perspectives.
NACP,Q10_3,10,3,Diversity and Inclusion,Somewhat Disagree,2,3. Our organization's leadership team reflects a diverse range of backgrounds and perspectives.
NACP,Q10_3,10,3,Diversity and Inclusion,Strongly Agree,2,3. Our organization's leadership team reflects a diverse range of backgrounds and perspectives.
NACP,Q10_3,10,3,Diversity and Inclusion,Strongly Disagree,0,3. Our organization's leadership team reflects a diverse range of backgrounds and perspectives.
NACP,Q10_4,10,4,Diversity and Inclusion,Agree,4,"4. I feel that my organization provides equal opportunities for career advancement to all employees, regardless of their background."
NACP,Q10_4,10,4,Diversity and Inclusion,Disagree,2,"4. I feel that my organization provides equal opportunities for career advancement to all employees, regardless of their background."
NACP,Q10_4,10,4,Diversity and Inclusion,Somewhat Agree,6,"4. I feel that my organization provides equal opportunities for career advancement to all employees, regardless of their background."
NACP,Q10_4,10,4,Diversity and Inclusion,Somewhat Disagree,2,"4. I feel that my organization provides equal opportunities for career advancement to all employees, regardless of their background."
NACP,Q10_4,10,4,Diversity and Inclusion,Strongly Agree,2,"4. I feel that my organization provides equal opportunities for career advancement to all employees, regardless of their background."
NACP,Q10_4,10,4,Diversity and Inclusion,Strongly Disagree,0,"4. I feel that my organization provides equal opportunities for career advancement to all employees, regardless of their background."
NACP,Q10_5,10,5,Diversity and Inclusion,Agree,7,5. Our organization actively seeks to eliminate biases and discrimination in its policies and practices.
NACP,Q10_5,10,5,Diversity and Inclusion,Disagree,1,5. Our organization actively seeks to eliminate biases and discrimination in its policies and practices.
NACP,Q10_5,10,5,Diversity and Inclusion,Somewhat Agree,4,5. Our organization actively seeks to eliminate biases and discrimination in its policies and practices.
NACP,Q10_5,10,5,Diversity and Inclusion,Somewhat Disagree,1,5. Our organization actively seeks to eliminate biases and discrimination in its policies and practices.
NACP,Q10_5,10,5,Diversity and Inclusion,Strongly Agree,3,5. Our organization actively seeks to eliminate biases and discrimination in its policies and practices.
NACP,Q10_5,10,5,Diversity and Inclusion,Strongly Disagree,0,5. Our organization actively seeks to eliminate biases and discrimination in its policies and practices.
NACP,Q10_6,10,6,Diversity and Inclusion,Agree,5,"6. Overall, I believe our organization to be committed to supporting people of all backgrounds."
NACP,Q10_6,10,6,Diversity and Inclusion,Disagree,0,"6. Overall, I believe our organization to be committed to supporting people of all backgrounds."
NACP,Q10_6,10,6,Diversity and Inclusion,Somewhat Agree,7,"6. Overall, I believe our organization to be committed to supporting people of all backgrounds."
NACP,Q10_6,10,6,Diversity and Inclusion,Somewhat Disagree,1,"6. Overall, I believe our organization to be committed to supporting people of all backgrounds."
NACP,Q10_6,10,6,Diversity and Inclusion,Strongly Agree,3,"6. Overall, I believe our organization to be committed to supporting people of all backgrounds."
NACP,Q10_6,10,6,Diversity and Inclusion,Strongly Disagree,0,"6. Overall, I believe our organization to be committed to supporting people of all backgrounds."
NACP,Q11_1,11,1,Communication and Messaging,Agree,9,1. Our organization effectively communicates its services to key stakeholders/patients.
NACP,Q11_1,11,1,Communication and Messaging,Disagree,0,1. Our organization effectively communicates its services to key stakeholders/patients.
NACP,Q11_1,11,1,Communication and Messaging,Somewhat Agree,3,1. Our organization effectively communicates its services to key stakeholders/patients.
NACP,Q11_1,11,1,Communication and Messaging,Somewhat Disagree,0,1. Our organization effectively communicates its services to key stakeholders/patients.
NACP,Q11_1,11,1,Communication and Messaging,Strongly Agree,3,1. Our organization effectively communicates its services to key stakeholders/patients.
NACP,Q11_1,11,1,Communication and Messaging,Strongly Disagree,1,1. Our organization effectively communicates its services to key stakeholders/patients.
NACP,Q11_2,11,2,Communication and Messaging,Agree,9,2. I believe that our marketing strategies are aligned with our organization's goals.
NACP,Q11_2,11,2,Communication and Messaging,Disagree,2,2. I believe that our marketing strategies are aligned with our organization's goals.
NACP,Q11_2,11,2,Communication and Messaging,Somewhat Agree,3,2. I believe that our marketing strategies are aligned with our organization's goals.
NACP,Q11_2,11,2,Communication and Messaging,Somewhat Disagree,0,2. I believe that our marketing strategies are aligned with our organization's goals.
NACP,Q11_2,11,2,Communication and Messaging,Strongly Agree,2,2. I believe that our marketing strategies are aligned with our organization's goals.
NACP,Q11_2,11,2,Communication and Messaging,Strongly Disagree,0,2. I believe that our marketing strategies are aligned with our organization's goals.
NACP,Q11_3,11,3,Communication and Messaging,Agree,6,3. Communication within our organization is clear and transparent.
NACP,Q11_3,11,3,Communication and Messaging,Disagree,2,3. Communication within our organization is clear and transparent.
NACP,Q11_3,11,3,Communication and Messaging,Somewhat Agree,5,3. Communication within our organization is clear and transparent.
NACP,Q11_3,11,3,Communication and Messaging,Somewhat Disagree,2,3. Communication within our organization is clear and transparent.
